,peak_load_mw,energy_load_mwh,energy_net_mwh,min_net_mw,vre_surplus_mwh,vre_share_day,max_ramp_1h_mw,max_ramp_3h_mw,month,weekday
2020-01-01,5141.687007199999,104655.3569326,40679.92005058751,-97.63489909396776,97.63489909396776,0.6112963421759084,1339.8200101282018,2700.2525000321148,1,2
2020-01-02,5095.928301,103996.3382904,26233.809629954103,-720.6083929957167,2624.736085854335,0.7477429488267302,1213.3104374113632,2503.8380686413716,1,3
2020-01-03,4993.5376846,102996.1545451,14350.208054473163,-1650.1770109418912,10096.011284281622,0.8606723899755939,1974.1059856543457,4676.655803691743,1,4
2020-01-04,4622.8577164,96244.4859967,38961.078584803065,-626.3027460760222,1081.9929469434487,0.5951863820423027,2288.208631275319,3422.631025169817,1,5
2020-01-05,4645.3493752,94647.8510516,7933.63659691056,-2653.729034853333,16225.577383814969,0.9161773193077009,2129.240128503518,4744.789780481755,1,6
2020-01-06,5147.8499922,104131.5435053,-3377.4025015372063,-2411.5296000238595,15459.598441774153,1.0324340001871317,1609.6427741743082,3096.337112615283,1,0
2020-01-07,5137.3565591999995,104881.614292,-14703.556013882557,-2524.481572936723,19820.531620302427,1.1401919308082589,1715.6140506672118,3120.1347692085387,1,1
2020-01-08,5195.4642892,106814.1399812,-3685.0397968120897,-2688.214720832105,17131.266310903065,1.0344995503166592,1883.931463651213,4321.956777763286,1,2
2020-01-09,5126.943275,105728.57200079999,24824.062848922706,-1036.2533743415224,2888.649268471665,0.7652095135765677,1709.3653612920348,2970.4690778280656,1,3
2020-01-10,4876.1936718,103761.7002737,12047.065999656323,-1836.9295495863544,9510.409383080078,0.8838967945987887,1715.208701348547,3066.2611809529335,1,4
2020-01-11,4671.1403332,97107.2113606,46459.72185433053,723.4930131334199,0.0,0.5215625986642124,995.7835709014084,1815.478431592191,1,5
2020-01-12,4870.0478822000005,96189.3937442,5044.748707051665,-2041.0310989378463,11790.074124325203,0.9475540024665573,1896.3977261934056,3222.1516901343684,1,6
2020-01-13,5287.892050199999,106961.2027235,28891.184251925835,316.24557666224973,0.0,0.7298909930303329,1204.5838953579619,1800.6384539337218,1,0
2020-01-14,5349.1670208,109666.075339,16033.080404681292,-2308.588906608208,13605.903349011392,0.8538009101253984,2803.074678530775,5777.0353326363365,1,1
2020-01-15,5274.5528521999995,107867.2767892,60558.506338863466,522.5596532872469,0.0,0.4385831538399719,1878.1090792847262,3728.465672220653,1,2
2020-01-16,5280.4536356,106358.48001,37296.19703711878,-257.46846642258333,521.3102986636904,0.6493349939411307,1770.1595486087472,3226.2224872710876,1,3
2020-01-17,5069.484923399999,107472.180704,-8678.762986069994,-2773.084439511982,18885.784175779903,1.0807535766857943,2545.6194140167872,3413.826029376476,1,4
2020-01-18,4787.7233582,102165.0466924,49257.33443675839,-130.6186005455511,130.6186005455511,0.5178651013094224,1920.5593846478482,3694.5030520045525,1,5
2020-01-19,4829.61684,99547.50351339999,56016.6160498188,267.5430648326733,0.0,0.43728758559697634,2117.837818925647,3421.408112101912,1,6
2020-01-20,5162.2006014,105910.8322186,47716.435629450934,-758.906724218521,1588.6520824593745,0.549465955182335,1842.311210226112,3492.8154125376295,1,0
2020-01-21,5151.4838134,105073.4859721,48908.6923365096,-272.33030966198567,416.7453452881582,0.5345286978534599,1709.8478436870937,3239.267182304393,1,1
2020-01-22,5070.736430000001,103801.370906,36246.22337578451,-491.3974610285868,864.5436382850567,0.6508117083674338,1752.772655466309,3301.7874148490414,1,2
2020-01-23,5089.7782658,105003.8326672,428.9293622724099,-2551.61125114714,16914.263335520824,0.9959151075596273,2597.9088930052126,4814.981371313958,1,3
2020-01-24,4926.6503414,103902.94594199999,-1366.7867189193385,-2625.9525770009814,16336.0040497784,1.0131544558869612,2470.300024765826,4309.835394458642,1,4
2020-01-25,4706.393289799999,99129.003943,-12168.650162262018,-3240.520350430683,24010.040839255984,1.1227556989199556,2004.85462938224,4297.1369737919995,1,5
2020-01-26,4678.0785892,96537.5179409,-1716.734797472719,-2190.0323525296376,12439.305117958766,1.017783084070213,2314.6864221059864,3443.7565160155023,1,6
2020-01-27,5062.8267278,104381.4150332,-16343.091505845123,-2869.90569775355,22579.65391879589,1.1565708943555417,2078.5951216329386,4132.005257633208,1,0
2020-01-28,4889.4062858,101447.4515992,4063.581084255416,-1543.8448626538975,9800.926932533963,0.9599439806501019,2001.535858266354,3147.875096509887,1,1
2020-01-29,4988.6247202,102718.3358337,-18112.299555790363,-2950.9113301558464,24063.030506682233,1.1763297604929466,1692.62586003453,3558.549974341106,1,2
2020-01-30,5024.6256704,103057.5649958,-1541.228579447169,-2551.1681996202997,15562.702673021911,1.0149550261498026,2334.1172840763325,4428.613888503118,1,3
2020-01-31,4865.3836328,101850.0083629,37379.98725161611,88.40889019444921,0.0,0.6329898460250672,1237.047510051159,2706.0854920903166,1,4
2020-02-01,4523.6338108,94003.7152374,-17880.300419945295,-3217.9287620682812,25015.29903406509,1.190208444153402,2482.9127510572807,3461.9321899447973,2,5
2020-02-02,4421.6416386,91491.82643918,20327.91491994905,-1934.0307459109226,9996.853545351916,0.777817148142056,1586.846806191014,3438.31674879632,2,6
2020-02-03,5010.9125556,101441.87815209999,55307.27748448005,150.5762993754397,0.0,0.4547885105049674,1703.1085724724962,3550.2726112114246,2,0
2020-02-04,4997.380278,102040.98216642,70131.69089112795,1300.9542883775189,0.0,0.31271054627101447,1435.1581260678213,2924.742409145222,2,1
2020-02-05,5006.519708,102199.3072622,51133.2640861907,-609.5194866787815,1039.254671418631,0.4996711283472356,1559.7930974305941,3225.817967967121,2,2
2020-02-06,5003.924704999999,101478.1011758,51064.85760144189,147.56051617020876,0.0,0.49678938598804223,1872.4733507120327,3864.379106892177,2,3
