scenario,day_key,day,case,axis,variation,vre_share,vre_scale_factor,vre_share_annual,vre_share_day,vpl_mwh,vpl_mode,dc_flex,window_scale,reserve_from_flex,load_mwh,solver,mip_gap,time_milp_s,time_lp_s,objective_milp,cost_total,cost_fuel,cost_startup,cost_shutdown,cost_curtail_penalty,cost_migration,cost_degradation,cost_other,vre_available_mwh,vre_dispatched_mwh,curtailment_mwh,curtailment_pct,startups_total,startups_coal,startups_ng,startups_nuclear,startups_oil,frus_mean_mw,frds_mean_mw,frus_system_mean_mw,frds_system_mean_mw,pmin_mwh,pmin_unit_hours,online_unit_hours,corridor_limit_mw,corridor_flow_mean_mw,corridor_flow_max_mw,corridor_congested_hours,corridor_utilization,lmp_up_mean,lmp_down_mean,lmp_spread_mean,lmp_spread_max,lmp_spread_congested_mean,vpl_virtual_capacity_mw,vpl_virtual_mwh,vpl_cycles_up,vpl_cycles_down,vpl_throughput_mwh,vpl_hours_vtl,vpl_hours_arbitrage,vdc_energy_it_mwh,vdc_energy_elec_mwh,vdc_spatial_shift_mwh,vdc_spatial_shift_pct,vdc_temporal_shift_mwh,vdc_temporal_shift_pct,vdc_mean_delay_h,vdc_completion_min,vdc_site_cap_violation_mw,co2_t,co2_t_coal,co2_t_ng,co2_t_nuclear,co2_t_oil,gen_mwh_csp,gen_mwh_coal,gen_mwh_gas_cc,gen_mwh_gas_ct,gen_mwh_hydro,gen_mwh_nuclear,gen_mwh_oil_ct,gen_mwh_oil_st,gen_mwh_solar_pv,gen_mwh_solar_rtpv,gen_mwh_wind
m01__A__base,m01,2020-01-03,A,monthly,base,0.5,1.2511,0.5,0.8518,800.0,emergent,0.5,1.0,False,114331.8011972235,gurobi,0.0004418894668646,9.4,1.0,1126473.7243220315,1126473.7243220324,963952.5616016357,168797.556132,0.0,-6276.393411603933,0.0,0.0,9.313225746154783e-10,87735.21413052709,62763.93411603933,24971.280014487776,28.46209502302808,16.0,0.0,6.0,0.0,10.0,70.12714278463507,23.68605518490808,1151.2539273810924,388.8460726189076,23542.0,281,394,500.0,379.1254207509121,500.0,11,0.7748528641364191,11.691689127524208,15.336272262281916,3.644583134757706,22.05269893006037,9.454229691035154,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,,0.0,29177.805303167603,24549.75088615473,4549.479219163269,0.0,78.5751978496,1458.447235359513,24578.023611737524,12216.28213111626,0.0,5196.0,9564.0,96.0,0.0,9558.216022655382,4669.123495172401,47078.147362852025
m01__B__base,m01,2020-01-03,B,monthly,base,0.5,1.2511,0.5,0.8518,800.0,emergent,0.5,1.0,False,114331.8011972235,gurobi,0.0004239113272658,10.0,1.0,1047607.8931751648,1047607.893175166,909840.4842733868,140854.36911,0.0,-6520.112229406977,0.0,3433.152021184747,1.280568540096283e-09,87735.21413052709,65201.12229406978,22534.09183645732,25.684204523547947,17.0,0.0,5.0,0.0,12.0,66.08866422657309,23.12872707777473,1076.6944880245867,376.80551197541337,21870.0,278,391,500.0,377.462473664248,500.0,11,0.7711830089686051,9.758824787221709,15.427395490685456,5.668570703463751,21.25681192,12.881291518456544,15.454545454545457,170.00000000000003,1.011265567511178,1.1344544457292889,1716.5760105923734,,,0.0,0.0,0.0,,0.0,,,,0.0,28213.616157579563,24270.9886914092,3837.5537865543606,0.0,105.073679616,1560.4799551946307,24248.119441049734,10383.212846360184,0.0,5196.0,9564.0,128.0,0.0,9482.466762876147,4443.845563852559,49714.33001214644
m01__C__base,m01,2020-01-03,C,monthly,base,0.5,1.2511,0.5,0.8518,800.0,emergent,0.5,1.0,False,110196.15454509998,gurobi,0.0004983780043477,12.2,1.5,1106031.2016303942,1106031.201630395,964176.0047944408,140802.62211,0.0,-6263.496563984735,7316.071289937516,0.0,1.164153218269348e-09,87735.21413052709,62634.96563984735,25100.248490679747,28.60909241452028,16.0,0.0,5.0,0.0,11.0,68.63455397259096,22.860591658477,1178.2265098628116,392.4401568038552,24594.0,302,412,500.0,380.53149852838624,500.0,9,0.7610629970567725,13.234164545807866,16.352235183233127,3.1180706374252574,23.061938144590577,9.364385613501652,0.0,0.0,0.0,0.0,0.0,,,3181.2666554796187,4135.646652123504,481.221862127146,15.126737687903605,1724.3359857767437,54.20281204050079,3.381126463581369,1.0,0.0,30424.92041007794,26385.43468820162,3928.1273618072,0.0,111.35836006912,1456.2464412218974,26265.41297125307,10629.150792039456,0.0,5196.0,9556.0,136.0,0.0,8932.10463935884,3697.86126851499,48548.753290751614
m01__D__base,m01,2020-01-03,D,monthly,base,0.5,1.2511,0.5,0.8518,800.0,emergent,0.5,1.0,False,110196.15454509998,gurobi,0.0,8.3,1.3,1027563.3319236566,1027563.3319236572,903529.3323861754,118421.175516,0.0,-6519.6645440433485,8500.796724610784,3631.691840912588,1.862645149230957e-09,87735.21413052709,65196.64544043349,22538.56869009361,25.68930721085618,16.0,0.0,5.0,0.0,11.0,65.32460063752447,22.168274055350228,1107.7963524780191,375.9369808553143,22426.0,291,407,500.0,376.30233084483297,500.0,11,0.7536697944164243,13.289208642390092,18.735877158888385,5.446668516498295,21.25681192,12.204488778353694,22.05480163946193,242.60281803408128,1.0445994322984773,1.2252079682718904,1815.8459204562944,,,3181.266655479623,4135.64665212351,501.76898570728497,15.772616383571778,1620.8682218724764,50.95040426996543,3.276390776637659,1.0,0.0,29276.93290785303,25917.84479851141,3260.8727407656133,0.0,98.215368576,1278.050819020977,25840.6936373387,8771.793903188845,44.0,5196.0,9564.0,120.0,0.0,9713.719690112675,4464.203761877329,49740.67116942251
m02__A__base,m02,2020-02-10,A,monthly,base,0.5,1.2511,0.5,0.6223,800.0,emergent,0.5,1.0,False,112351.23007524353,gurobi,0.0004987422680316,40.6,1.2,1034660.1252195822,1034660.1252195842,1011578.9145473586,28460.657022,0.0,-5379.446349775928,0.0,0.0,1.513399183750152e-09,62860.692228609456,53794.46349775927,9066.22873085017,14.422731295860446,9.0,0.0,1.0,0.0,8.0,48.60792070036523,36.76435652735754,818.2333317894813,618.8666682105187,16710.0,205,404,500.0,244.0929126822285,500.0,2,0.6144977111498179,18.342456432103244,17.543848640939373,-0.7986077911638688,7.589587206020639,-3.2797456413071693,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,,0.0,34722.68332974698,31590.31128492765,3054.7272548801257,0.0,77.6447899392,1412.5999408466278,31502.520376181288,8086.279660871158,0.0,9369.0,9572.0,96.0,0.0,12767.109960312737,6322.979464271764,33291.77413232815
m02__B__base,m02,2020-02-10,B,monthly,base,0.5,1.2511,0.5,0.6223,800.0,emergent,0.5,1.0,False,112351.23007524353,gurobi,0.0004976329973943,17.4,2.9,961854.8156322512,961854.8156322537,963429.350283414,310.482,0.0,-5541.491779964214,0.0,3656.475128801678,2.211891114711761e-09,62860.692228609456,55414.91779964214,7445.774428967307,11.844881379748076,6.0,0.0,0.0,0.0,6.0,41.91507749246368,40.229960675475255,686.3593939390927,658.7656060609073,14386.0,188,393,500.0,184.3548049635565,471.8121625297493,0,0.5483388325950946,20.27313466329873,19.01518898913329,-1.257945674165443,8.569532550893037,0.0,0.0,0.0,1.1719544457292888,1.11334250977176,1828.237564400839,,,0.0,0.0,0.0,,0.0,,,,0.0,35280.803331515475,33312.4995590832,1916.7922682684384,0.0,51.51150416384,2233.411638203893,33173.24004698866,5159.134498473111,0.0,9369.0,9572.0,64.0,0.0,13424.287433224088,7013.271331683502,32743.947396530664
m02__C__base,m02,2020-02-10,C,monthly,base,0.5,1.2511,0.5,0.6223,800.0,emergent,0.5,1.0,False,108215.58342312,gurobi,0.000241684420722,6.4,1.1,1007865.0326180093,1007865.0326180096,1009868.5284660484,155.241,0.0,-5305.6916339628615,3146.954785922625,0.0,1.280568540096283e-09,62860.692228609456,53056.91633962861,9803.775888980836,15.596035521414278,3.0,0.0,0.0,0.0,3.0,48.62608523478877,39.15998441695253,814.4869276827118,655.9297389839548,16556.0,193,402,500.0,170.3006533307272,450.2234773505082,0,0.4878339999421296,24.544960266931515,22.68233621957229,-1.862624047359224,19.53654324493965,0.0,0.0,0.0,0.0,0.0,0.0,,,3181.266655479623,4135.646652123511,247.7791798922816,7.788695721733683,1740.0349061147149,54.696292217993246,3.4229215534459727,1.0,0.0,37021.27937056337,34861.80375115437,2134.0974010205155,0.0,25.37821838848,1784.4641240982228,34636.40344019559,5759.910295419333,0.0,9369.0,9572.0,32.0,0.0,12284.164597286315,6747.237426319833,32241.05019192424
m02__D__base,m02,2020-02-10,D,monthly,base,0.5,1.2511,0.5,0.6223,800.0,emergent,0.5,1.0,False,108215.58342312,gurobi,0.000398150099884,6.9,1.5,938336.3683850602,938336.3683850633,935234.7027704784,51.747,0.0,-5635.1228490749945,4620.238140654628,4064.80332300322,1.979060471057892e-09,62860.692228609456,56351.22849074995,6509.463737859502,10.35538029741404,1.0,0.0,0.0,0.0,1.0,39.46550217648731,44.12305368182331,603.4933041154518,674.7150292178816,12360.0,162,367,500.0,204.30342030751083,442.67546619600085,0,0.5259680455292292,28.49308244551362,26.35712451238749,-2.135957933126136,12.050619903570803,0.0,0.0,0.0,1.254343990487569,1.2861580863894435,2032.4016615016096,,,3181.266655479621,4135.646652123507,363.425371891842,11.42392044583419,1756.23361979921,55.20548290958757,3.420000176892123,1.0,0.0,34467.66326531787,32637.89602485448,1823.438144281632,0.0,6.32909618176,2233.411638203893,32547.0670840573,4930.093617171857,0.0,9369.0,9572.0,8.0,0.0,14511.889830393447,7154.447612958218,32451.479409194388
m03__A__base,m03,2020-03-18,A,monthly,base,0.5,1.2511,0.5,0.6071,800.0,emergent,0.5,1.0,False,110134.8486024235,gurobi,0.0003039598226003,19.3,2.6,1226467.3802131056,1226467.3802131035,1090587.747266426,140802.62211,0.0,-4922.989163320306,0.0,0.0,-2.3283064365386963e-09,59982.99472051207,49229.89163320306,10753.103087309004,17.926919350080098,16.0,0.0,5.0,0.0,11.0,59.94781933779832,32.003000334332825,1066.5716190516616,569.3867142816716,21274.0,263,427,500.0,312.1151273209609,500.0,11,0.6680098954903987,14.951616764604807,15.018606504315937,0.0669897397111276,9.395855365980683,-0.0207578674371926,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,,0.0,35309.59706683138,30860.886660473392,4375.90199575959,0.0,72.8084105984,400.4629367565266,30685.595071792228,11715.686070967897,0.0,8938.6,9564.0,88.0,0.0,14197.9066873567,6658.244996893736,27973.2770121961
m03__B__base,m03,2020-03-18,B,monthly,base,0.5,1.2511,0.5,0.6071,800.0,emergent,0.5,1.0,False,110134.8486024235,gurobi,0.0004970425626465,84.4,1.4,1154033.9108409833,1154033.9108409826,1042692.1687742718,113511.447288,0.0,-5119.959447622676,0.0,2950.2542263337245,-2.3283064365386963e-10,59982.99472051207,51199.59447622676,8783.400244285307,14.643150588281138,17.0,0.0,4.0,0.0,13.0,57.32553546276237,33.64170170105181,976.9226668445754,573.3106664887579,20078.0,244,409,500.0,280.5505265453629,500.0,9,0.6723355090817169,14.815527132683684,14.730462031901611,-0.0850651007820705,6.115966319323594,0.679551813258177,0.0,0.0,0.9219544457292888,0.921954445729289,1475.1271131668625,,,0.0,0.0,0.0,,0.0,,,,0.0,34522.82466415269,30717.62101665413,3701.401602087661,0.0,103.80204541089918,479.0350191957599,30636.81042528084,10018.645570449356,0.0,8938.6,9564.0,104.0,20.0,15399.248237992617,8201.027689043874,27120.28352999451
